iter	Passed	Remaining
1114	17606	13974
1115	17622	13958
1116	17637	13942
1117	17650	13924
1118	17664	13907
1119	17680	13891
1120	17694	13874
1121	17707	13856
1122	17720	13838
1123	17735	13822
1124	17750	13806
1125	17764	13788
1126	17779	13772
1127	17795	13757
1128	17810	13740
1129	17825	13723
1130	17839	13706
1131	17853	13689
1132	17866	13671
1133	17882	13656
1134	17895	13638
1135	17911	13622
1136	17928	13608
1137	17944	13592
1138	17959	13575
1139	17973	13559
1140	17990	13544
1141	18004	13527
1142	18019	13510
1143	18033	13493
1144	18048	13477
1145	18061	13459
1146	18075	13442
1147	18091	13426
1148	18104	13408
1149	18119	13392
1150	18134	13376
1151	18149	13360
1152	18164	13343
1153	18180	13327
1154	18197	13313
1155	18212	13297
1156	18228	13281
1157	18245	13266
1158	18262	13251
1159	18280	13237
1160	18294	13220
1161	18310	13205
1162	18324	13188
1163	18339	13171
1164	18354	13155
1165	18370	13139
1166	18387	13124
1167	18402	13108
1168	18419	13093
1169	18433	13076
1170	18452	13063
1171	18468	13047
1172	18484	13032
1173	18499	13015
1174	18518	13002
1175	18537	12988
1176	18554	12973
1177	18571	12958
1178	18585	12942
1179	18601	12926
1180	18619	12912
1181	18635	12896
1182	18650	12880
1183	18666	12864
1184	18683	12850
1185	18701	12835
1186	18717	12819
1187	18731	12802
1188	18748	12787
1189	18763	12772
1190	18781	12757
1191	18797	12741
1192	18811	12725
1193	18828	12709
1194	18842	12693
1195	18857	12676
1196	18870	12659
1197	18884	12642
1198	18898	12625
1199	18911	12607
1200	18923	12589
1201	18937	12572
1202	18953	12556
1203	18968	12540
1204	18982	12523
1205	18995	12506
1206	19010	12489
1207	19024	12472
1208	19037	12455
1209	19052	12439
1210	19068	12423
1211	19085	12408
1212	19101	12393
1213	19115	12376
1214	19128	12358
1215	19142	12341
1216	19155	12324
1217	19170	12308
1218	19184	12291
1219	19198	12274
1220	19213	12258
1221	19226	12240
1222	19243	12225
1223	19257	12208
1224	19272	12192
1225	19288	12177
1226	19304	12161
1227	19322	12147
1228	19339	12132
1229	19353	12115
1230	19370	12100
1231	19385	12084
1232	19398	12067
1233	19415	12051
1234	19431	12036
1235	19445	12019
1236	19458	12002
1237	19475	11987
1238	19490	11971
1239	19507	11955
1240	19521	11939
1241	19538	11924
1242	19555	11909
1243	19570	11893
1244	19584	11876
1245	19599	11860
1246	19615	11844
1247	19631	11829
1248	19648	11814
1249	19664	11798
1250	19680	11783
1251	19694	11766
1252	19707	11749
1253	19724	11734
1254	19742	11719
1255	19757	11703
1256	19772	11687
1257	19786	11670
1258	19801	11654
1259	19816	11638
1260	19831	11622
1261	19846	11606
1262	19859	11588
1263	19873	11571
1264	19887	11554
1265	19902	11538
1266	19915	11521
1267	19927	11504
1268	19940	11486
1269	19953	11469
1270	19965	11451
1271	19980	11435
1272	19998	11420
1273	20010	11403
1274	20026	11387
1275	20045	11373
1276	20059	11357
1277	20079	11343
1278	20095	11328
1279	20112	11313
1280	20127	11297
1281	20140	11279
1282	20155	11263
1283	20171	11248
1284	20188	11233
1285	20205	11218
1286	20219	11201
1287	20240	11188
1288	20255	11172
1289	20271	11157
1290	20288	11142
1291	20302	11125
1292	20320	11110
1293	20338	11096
1294	20355	11081
1295	20370	11065
1296	20384	11048
1297	20402	11034
1298	20419	11019
1299	20433	11002
1300	20450	10987
1301	20463	10970
1302	20477	10953
1303	20495	10939
1304	20512	10924
1305	20527	10908
1306	20544	10893
1307	20561	10877
1308	20579	10863
1309	20595	10847
1310	20609	10831
1311	20622	10814
1312	20638	10798
1313	20655	10783
1314	20670	10767
1315	20687	10752
1316	20702	10736
1317	20716	10719
1318	20732	10704
1319	20748	10688
1320	20763	10672
1321	20781	10657
1322	20795	10641
1323	20810	10625
1324	20824	10608
1325	20842	10594
1326	20855	10577
1327	20871	10561
1328	20888	10546
1329	20902	10529
1330	20915	10512
1331	20929	10496
1332	20945	10480
1333	20958	10463
1334	20975	10448
1335	20995	10435
1336	21010	10418
1337	21027	10403
1338	21039	10386
1339	21053	10369
1340	21069	10354
1341	21084	10338
1342	21099	10321
1343	21115	10306
1344	21129	10289
1345	21142	10272
1346	21159	10257
1347	21177	10243
1348	21191	10226
1349	21206	10210
1350	21223	10195
1351	21239	10179
1352	21252	10163
1353	21267	10146
1354	21283	10131
1355	21296	10114
1356	21312	10098
1357	21326	10082
1358	21340	10065
1359	21354	10048
1360	21368	10032
1361	21388	10018
1362	21404	10003
1363	21418	9986
1364	21435	9971
1365	21451	9956
1366	21466	9940
1367	21481	9924
1368	21495	9907
1369	21509	9891
1370	21528	9876
1371	21544	9861
1372	21565	9848
1373	21579	9831
1374	21596	9816
1375	21609	9799
1376	21622	9782
1377	21635	9766
1378	21652	9750
1379	21666	9734
1380	21681	9718
1381	21699	9703
1382	21712	9686
1383	21726	9669
1384	21740	9653
1385	21760	9639
1386	21774	9623
1387	21789	9607
1388	21807	9592
1389	21826	9578
1390	21839	9561
1391	21855	9545
1392	21869	9529
1393	21885	9514
1394	21900	9498
1395	21914	9481
1396	21926	9464
1397	21939	9447
1398	21956	9432
1399	21969	9415
1400	21983	9399
1401	21998	9383
1402	22012	9366
1403	22028	9351
1404	22045	9335
1405	22062	9320
1406	22078	9305
1407	22092	9288
1408	22105	9272
1409	22116	9254
1410	22131	9238
1411	22149	9223
1412	22164	9207
1413	22176	9190
1414	22192	9174
1415	22204	9157
1416	22220	9142
1417	22234	9126
1418	22249	9109
1419	22263	9093
1420	22275	9076
1421	22290	9060
1422	22303	9043
1423	22317	9027
1424	22332	9011
1425	22345	8994
1426	22360	8978
1427	22375	8962
1428	22387	8945
1429	22402	8929
1430	22417	8913
1431	22431	8897
1432	22446	8881
1433	22460	8865
1434	22477	8849
1435	22493	8834
1436	22507	8818
1437	22520	8801
1438	22535	8785
1439	22551	8769
1440	22564	8753
1441	22577	8736
1442	22588	8719
1443	22601	8702
1444	22617	8686
1445	22632	8670
1446	22647	8655
1447	22662	8639
1448	22678	8623
1449	22691	8607
1450	22706	8591
1451	22722	8575
1452	22738	8560
1453	22752	8543
1454	22766	8527
1455	22778	8510
1456	22793	8494
1457	22808	8478
1458	22822	8462
1459	22837	8446
1460	22853	8431
1461	22869	8415
1462	22885	8400
1463	22897	8383
1464	22911	8367
1465	22926	8351
1466	22940	8335
1467	22954	8318
1468	22969	8302
1469	22985	8287
1470	22997	8270
1471	23014	8255
1472	23030	8239
1473	23045	8223
1474	23059	8207
1475	23073	8191
1476	23086	8175
1477	23099	8158
1478	23114	8142
1479	23128	8126
1480	23144	8110
1481	23161	8095
1482	23175	8079
1483	23192	8064
1484	23207	8048
1485	23225	8033
1486	23241	8018
1487	23256	8002
1488	23270	7986
1489	23286	7970
1490	23303	7955
1491	23318	7939
1492	23334	7924
1493	23348	7907
1494	23363	7892
1495	23379	7876
1496	23394	7860
1497	23413	7846
1498	23429	7830
1499	23448	7816
1500	23464	7800
1501	23482	7785
1502	23501	7771
1503	23518	7756
1504	23537	7741
1505	23555	7726
1506	23572	7711
1507	23585	7694
1508	23600	7679
1509	23618	7664
1510	23632	7648
1511	23649	7632
1512	23667	7618
1513	23683	7602
1514	23700	7587
1515	23718	7572
1516	23736	7557
1517	23751	7541
1518	23766	7525
1519	23780	7509
1520	23794	7493
1521	23810	7477
1522	23825	7461
1523	23841	7446
1524	23854	7430
1525	23868	7413
1526	23881	7397
1527	23894	7381
1528	23908	7364
1529	23922	7348
1530	23938	7333
1531	23952	7317
1532	23965	7300
1533	23981	7285
1534	23998	7269
1535	24012	7253
1536	24026	7237
1537	24040	7221
1538	24054	7205
1539	24066	7188
1540	24080	7172
1541	24094	7156
1542	24108	7140
1543	24122	7124
1544	24136	7108
1545	24150	7092
1546	24164	7075
1547	24176	7059
1548	24190	7043
1549	24204	7027
1550	24219	7011
1551	24236	6996
1552	24251	6980
1553	24266	6964
1554	24280	6948
1555	24294	6932
1556	24309	6916
1557	24323	6900
1558	24338	6884
1559	24352	6868
1560	24365	6852
1561	24380	6836
1562	24395	6820
1563	24409	6804
1564	24424	6789
1565	24438	6772
1566	24453	6757
1567	24468	6741
1568	24483	6725
1569	24496	6709
1570	24509	6692
1571	24524	6677
1572	24538	6661
1573	24554	6645
1574	24571	6630
1575	24585	6614
1576	24599	6598
1577	24614	6582
1578	24629	6566
1579	24644	6550
1580	24658	6535
1581	24672	6519
1582	24689	6503
1583	24704	6488
1584	24722	6473
1585	24740	6458
1586	24755	6442
1587	24776	6428
1588	24793	6412
1589	24810	6397
1590	24826	6382
1591	24843	6366
1592	24863	6352
1593	24879	6336
1594	24896	6321
1595	24912	6306
1596	24930	6291
1597	24946	6275
1598	24960	6259
1599	24975	6243
1600	24993	6228
1601	25010	6213
1602	25027	6198
1603	25045	6183
1604	25062	6167
1605	25079	6152
1606	25092	6136
1607	25107	6120
1608	25122	6104
1609	25138	6089
1610	25153	6073
1611	25165	6057
1612	25180	6041
1613	25193	6025
1614	25207	6009
1615	25220	5993
1616	25233	5976
1617	25247	5960
1618	25262	5944
1619	25277	5929
1620	25291	5913
1621	25305	5897
1622	25322	5881
1623	25338	5866
1624	25354	5851
1625	25368	5835
1626	25381	5818
1627	25393	5802
1628	25410	5787
1629	25424	5771
1630	25437	5754
1631	25454	5739
1632	25470	5724
1633	25485	5708
1634	25503	5693
1635	25517	5677
1636	25536	5662
1637	25552	5647
1638	25572	5632
1639	25586	5616
1640	25603	5601
1641	25615	5584
1642	25633	5569
1643	25648	5554
1644	25668	5539
1645	25684	5523
1646	25701	5508
1647	25718	5493
1648	25734	5477
1649	25751	5462
1650	25770	5447
1651	25784	5431
1652	25800	5416
1653	25818	5400
1654	25831	5384
1655	25845	5368
1656	25862	5353
1657	25880	5338
1658	25895	5322
1659	25909	5306
1660	25923	5290
1661	25938	5274
1662	25950	5258
1663	25962	5242
1664	25978	5226
1665	25993	5211
1666	26007	5195
1667	26021	5179
1668	26038	5164
